Country,Year,Latitude,Longitude,Continent,iso_alpha,OilConsumption,GasConsumption,CoalConsumption,TotalConsumption
Canada,1965,56.130366,-106.346771,North America,CAN,2.31414467,0.78006321,0.647949168,1039488068888.89
Mexico,1965,23.634501,-102.552784,North America,MEX,0.642413923,0.29032879,0.02888,267117420277.777
US,1965,37.09024,-95.712891,North America,USA,23.09211749,14.97314197,11.60727884,13797927305555.5
Argentina,1965,-38.416097,-63.616672,S. & Cent. America,ARG,0.990865014,0.1484424,0.030438177,324929330833.332
Brazil,1965,-14.235004,-51.92528,S. & Cent. America,BRA,0.639830074,0.001848318,0.07264098,198422047777.777
Chile,1965,-35.675147,-71.542969,S. & Cent. America,CHL,0.149782887,0.02224008,0.04877622,61333107499.9998
Colombia,1965,4.570868,-74.297333,S. & Cent. America,COL,0.165758372,0.0322245,0.084322152,78418062222.222
Ecuador,1965,-1.831239,-78.183406,S. & Cent. America,ECU,0.028514295,0,0,7920637499.99998
Peru,1965,-9.189967,-75.015152,S. & Cent. America,PER,0.160747394,0.013167,0.001510943,48729260277.7776
Trinidad & Tobago,1965,10.691803,-61.222503,S. & Cent. America,TTO,0.079912454,0.0411399,0,33625653888.8888
Venezuela,1965,6.42375,-66.58973,S. & Cent. America,VEN,0.403285547,0.27064908,0.00083736,187436663055.555
Central America,1965,0,0,S. & Cent. America,,0.168905637,0,1.31E-05,46921871388.8887
Other Caribbean,1965,0,0,S. & Cent. America,,0.75095678,0.0001053,0.0020934,209209855555.555
Other South America,1965,0,0,S. & Cent. America,,0.097625988,0.001939921,0.001323029,28024704999.9999
Austria,1965,47.516231,14.550072,Europe,AUT,0.235070909,0.063103129,0.212813639,141941021388.888
Belgium,1965,50.503887,4.469936,Europe,BEL,0.678473134,0.002646,0.802573757,412136914166.665
Bulgaria,1965,42.733883,25.48583,Europe,BGR,0.1573757,0.00202581,0.251040528,114011677222.222
Croatia,1965,45.1,15.2,Europe,HRV,0,0,0,0
Cyprus,1965,35.08620251,-33.15948469,Europe,CYP,0.016848902,0,0,4680250555.55554
Czech Republic,1965,49.817492,15.472962,Europe,CZE,0.169368794,0.0154458,1.479028968,462178767222.221
Denmark,1965,56.26392,9.501785,Europe,DNK,0.443251605,0,0.154832051,166134348888.888
Estonia,1965,58.69807177,-25.8872705,Europe,EST,0,0,0,0
Finland,1965,61.92411,25.748151,Europe,FIN,0.242947737,0,0.072935354,87745303055.5553
France,1965,46.227638,2.213749,Europe,FRA,2.29428517,0.180169183,1.732087585,1168483871666.66
Germany,1965,51.165691,10.451526,Europe,DEU,3.674051199,0.111512425,6.730115535,2921021988611.1
Greece,1965,39.074208,21.824312,Europe,GRC,0.18818362,0,0.088215876,76777637777.7776
Hungary,1965,47.162494,19.503304,Europe,HUN,0.15938313,0.0489501,0.45677988,184753641666.666
Iceland,1965,64.963051,-19.020835,Europe,ISL,0.020204877,0,0.000273675,5688486666.66665
Ireland,1965,53.41291,-8.24389,Europe,IRL,0.10267979,0,0.130879368,64877543888.8887
Italy,1965,41.87194,12.56738,Europe,ITA,2.198657814,0.2654892,0.361153368,784805661666.664
Latvia,1965,56.98600629,-25.98243782,Europe,LVA,0,0,0,0
Lithuania,1965,55.56514803,-23.92632337,Europe,LTU,0,0,0,0
Luxembourg,1965,49.61682412,6.124983395,Europe,LUX,0.035396509,0,0.114178223,41548536666.6665
Netherlands,1965,52.132633,5.291266,Europe,NLD,1.065256337,0.054,0.371,413960093611.11
North Macedonia,1965,42.12066355,-21.42254912,Europe,MKD,0,0,0,0
Norway,1965,60.472024,8.468946,Europe,NOR,0.217139473,0,0.031958724,69193943611.1109
Poland,1965,51.919438,19.145136,Europe,POL,0.23192913,0.0616752,2.490350508,773320788333.331
Portugal,1965,39.399872,-8.224454,Europe,PRT,0.109906248,0,0.024785856,37414473333.3332
Romania,1965,45.943161,24.96676,Europe,ROU,0.30440307,0.505764973,0.182528833,275749132222.221
Slovakia,1965,48.17856255,-17.37553815,Europe,SVK,0.097369556,0.01074708,0.252829998,100262953888.889
Slovenia,1965,46.151241,14.995463,Europe,SVN,0,0,0,0
Spain,1965,40.463667,-3.74922,Europe,ESP,0.598972917,0,0.4061196,279192365833.333
Sweden,1965,60.128161,18.643501,Europe,SWE,0.826931689,0,0.093337379,255630296666.666
Switzerland,1965,46.818188,8.227512,Europe,CHE,0.346966449,0,0.0534,111212902500
Turkey,1965,38.963745,35.243322,Europe,TUR,0.15115948,0,0.15365556,84670844444.4442
Ukraine,1965,49.03256983,-31.17505696,Europe,UKR,0,0,0,0
United Kingdom,1965,55.378051,-3.435973,Europe,GBR,3.188590372,0.030940452,4.915177596,2259641227777.77
Other Europe,1965,0,0,Europe,,0.175245229,0.01245375,0.379122551,157450425000
Azerbaijan,1965,40.37218247,-47.99440631,CIS,AZE,0,0,0,0
Belarus,1965,53.22505931,-28.06449163,CIS,BLR,0,0,0,0
Kazakhstan,1965,47.97919679,-67.16447093,CIS,KAZ,0,0,0,0
Russian Federation,1965,61.87817188,-94.65763783,CIS,RUS,0,0,0,0
Turkmenistan,1965,39.06564821,-59.08747704,CIS,TKM,0,0,0,0
USSR,1965,0,0,CIS,,7.181458421,4.380329778,12.45307781,6670796113611.09
Uzbekistan,1965,42.04885918,-64.06189671,CIS,UZB,0,0,0,0
Other CIS,1965,0,0,CIS,,0,0,0,0
Iran,1965,32.427908,53.688046,Middle East,IRN,0.29498293,0.028127804,0.008834148,92206911666.6664
Iraq,1965,33.223191,43.679291,Middle East,IRQ,0.055541128,0.0170316,0,20159091111.1111
Israel,1965,31.046051,34.851612,Middle East,ISR,0.164646046,0.002651038,0,46471412222.2221
Kuwait,1965,29.31166,47.481766,Middle East,KWT,0.223056208,0.0621414,0,79221557777.7775
Oman,1965,21.512583,55.923255,Middle East,OMN,0.019050981,0,0,5291939166.66665
Qatar,1965,25.3182235,-51.20661467,Middle East,QAT,0.002061839,0.00301806,0,1411083055.55555
Saudi Arabia,1965,23.885942,45.079162,Middle East,SAU,0.824887978,0.0216144,0,235139549444.444
United Arab Emirates,1965,23.7479278,-54.10908829,Middle East,ARE,0.003076319,0,0,854533055.555553
Other Middle East,1965,0,0,Middle East,,0.244485178,0.0017559,0.000272803,68476078055.5554
Algeria,1965,28.033886,1.659626,Africa,DZA,0.055458907,0.0267498,0.00293076,23649851944.4444
Egypt,1965,26.820553,30.802498,Africa,EGY,0.293017652,0.00169785,0.016872804,86552307222.222
Morocco,1965,31.791702,-7.09262,Africa,MAR,0.041565474,0.00175077,0.0076092,14145956666.6666
South Africa,1965,-30.559482,22.937506,Africa,ZAF,0.242489485,0,1.032339276,354119100277.777
Eastern Africa,1965,0,0,Africa,,0.233110071,0,0.075891216,85833690833.3331
Middle Africa,1965,0,0,Africa,,0.085681271,0.0003879,0.007618697,26024407777.7777
Western Africa,1965,0,0,Africa,,0.158543502,0.003439995,0.019767203,50486305555.5554
Other Northern Africa,1965,0,0,Africa,,0.059877751,0.0003312,0.000782942,16942192500
Other Southern Africa,1965,0,0,Africa,,0.00865528,0,0.000774,2619244444.44444
Australia,1965,-25.274398,133.775136,Asia Pacific,AUS,0.720069691,0.00010611,0.7273,402076611388.888
Bangladesh,1965,23.684994,90.356331,Asia Pacific,BGD,0,0,0,0
China,1965,35.86166,104.195397,Asia Pacific,CHN,0.464625131,0.039911504,4.79053656,1470853665277.77
China Hong Kong SAR,1965,22.32789401,114.1798757,Asia Pacific,HKG,0.089537479,0,0.005149764,26302011944.4444
India,1965,20.593684,78.96288,Asia Pacific,IND,0.529182477,0.008541072,1.488266464,562775003611.109
Indonesia,1965,-0.789275,113.921327,Asia Pacific,IDN,0.26115704,0.01827,0.005400972,79118892222.222
Japan,1965,36.204824,138.252924,Asia Pacific,JPN,3.649573112,0.0657414,2.03948239,1598554695000
Malaysia,1965,4.210484,101.975766,Asia Pacific,MYS,0.097625854,0,0.00062802,27292742777.7777
New Zealand,1965,-40.900557,174.885971,Asia Pacific,NZL,0.117490242,0,0.06887286,51767528333.3332
Pakistan,1965,30.375321,69.345116,Asia Pacific,PAK,0.161714453,0.05317614,0.057735972,75729601388.8887
Philippines,1965,12.879721,121.774017,Asia Pacific,PHL,0.178872784,0,0.001855883,50202407499.9999
Singapore,1965,1.352083,103.819836,Asia Pacific,SGP,0.17222935,0,0.000167472,47888006111.111
South Korea,1965,36.61375976,127.7174212,Asia Pacific,KOR,0.054448505,0,0.207330336,72716344722.222
Sri Lanka,1965,7.873054,80.771797,Asia Pacific,LKA,0.019743792,0,0,5484386666.66665
Taiwan,1965,23.69781,120.960515,Asia Pacific,TWN,0.092477424,0.00830583,0.12497598,62710898333.3332
Thailand,1965,15.870032,100.992541,Asia Pacific,THA,0.099706859,0,0.00188406,28219699722.2221
Vietnam,1965,14.058324,108.277199,Asia Pacific,VNM,0.064841545,0,0.037576971,28449587777.7777
Other Asia Pacific,1965,0,0,Asia Pacific,,0.139378403,0.008383028,0.453469511,167008595000
Other S. & Cent. America,1965,0,0,S. & Cent. America,,0,0,0,0
Syria,1965,34.802075,38.996815,Middle East,SYR,0,0,0,0
Yemen,1965,15.81904194,-47.76828626,Middle East,YEM,0,0,0,0
Angola,1965,-11.202692,17.873887,Africa,AGO,0,0,0,0
Chad,1965,15.454166,18.732207,Africa,TCD,0,0,0,0
Republic of Congo,1965,-0.88990186,15.06711965,Africa,COD,0,0,0,0
Equatorial Guinea,1965,1.650801,10.267895,Africa,GNQ,0,0,0,0
Gabon,1965,-0.803689,11.609444,Africa,GAB,0,0,0,0
Libya,1965,26.3351,17.228331,Africa,LBY,0,0,0,0
Nigeria,1965,9.081999,8.675277,Africa,NGA,0,0,0,0
South Sudan,1965,7.621050216,29.41666103,Africa,SSD,0,0,0,0
Sudan,1965,12.862807,30.217636,Africa,SDN,0,0,0,0
Tunisia,1965,33.886917,9.537499,Africa,TUN,0,0,0,0
Other Africa,1965,0,0,Africa,,0,0,0,0
Brunei,1965,4.495153165,114.626025,Asia Pacific,BRN,0,0,0,0
Bolivia,1965,-16.290154,-63.588653,S. & Cent. America,BOL,0,0,0,0
Bahrain,1965,25.930414,50.637772,Middle East,BHR,0,0,0,0
Myanmar,1965,16.871311,96.199379,Asia Pacific,MMR,0,0,0,0
Papua New Guinea,1965,-6.662413673,143.7729533,Asia Pacific,PNG,0,0,0,0
Republic of Congo ,1965,0,0,Africa,COD,0,0,0,0
Serbia,1965,44.016521,21.005859,Europe,SRB,0,0,0,0
Zimbabwe,1965,-19.015438,29.154857,Africa,ZWE,0,0,0,0
Mongolia,1965,46.862496,103.846656,Asia Pacific,MNG,0,0,0,0
Canada,1966,56.130366,-106.346771,North America,CAN,2.438144002,0.854009595,0.635221296,1090937470277.77
Mexico,1966,23.634501,-102.552784,North America,MEX,0.673178278,0.306408306,0.030805,280664328888.888
US,1966,37.09024,-95.712891,North America,USA,24.23248256,16.13792204,12.17104624,14594847455555.5
Argentina,1966,-38.416097,-63.616672,S. & Cent. America,ARG,1.021990601,0.16076592,0.025098546,335515296388.888
Brazil,1966,-14.235004,-51.92528,S. & Cent. America,BRA,0.697671357,0.002161449,0.07871184,216262401666.666
Chile,1966,-35.675147,-71.542969,S. & Cent. America,CHL,0.163973838,0.0232254,0.0502416,65955788333.3331
Colombia,1966,4.570868,-74.297333,S. & Cent. America,COL,0.188918956,0.0336105,0.084322152,85236557777.7775
Ecuador,1966,-1.831239,-78.183406,S. & Cent. America,ECU,0.029771098,0,0,8269749444.44442
Peru,1966,-9.189967,-75.015152,S. & Cent. America,PER,0.201463477,0.01375605,0.001905849,60312604444.4443
Trinidad & Tobago,1966,10.691803,-61.222503,S. & Cent. America,TTO,0.080473081,0.0483255,0,35777383611.111
Venezuela,1966,6.42375,-66.58973,S. & Cent. America,VEN,0.396379073,0.28379592,0.000879228,189181728055.555
Central America,1966,0,0,S. & Cent. America,,0.170605002,0,6.56E-05,47408500555.5554
Other Caribbean,1966,0,0,S. & Cent. America,,0.777931852,0.0001053,0.0020934,216702931111.111
Other South America,1966,0,0,S. & Cent. America,,0.101145402,0.0024412,0.001113689,29083414166.6666
Austria,1966,47.516231,14.550072,Europe,AUT,0.25843989,0.067755723,0.203283347,147077488888.888
Belgium,1966,50.503887,4.469936,Europe,BEL,0.692137141,0.0047754,0.732135579,396957811111.11
Bulgaria,1966,42.733883,25.48583,Europe,BGR,0.17954679,0.00302211,0.258869844,122621873333.333
Croatia,1966,45.1,15.2,Europe,HRV,0,0,0,0
Cyprus,1966,35.08620251,-33.15948469,Europe,CYP,0.019219077,0,0,5338632499.99998
Czech Republic,1966,49.817492,15.472962,Europe,CZE,0.186991122,0.0161649,1.474674696,466064088333.332
Denmark,1966,56.26392,9.501785,Europe,DNK,0.504855738,0,0.175481348,188982523888.888
Estonia,1966,58.69807177,-25.8872705,Europe,EST,0,0,0,0
Finland,1966,61.92411,25.748151,Europe,FIN,0.2947128,0,0.067696327,100669201944.444
France,1966,46.227638,2.213749,Europe,FRA,2.459242879,0.190067406,1.604930712,1181733610277.77
Germany,1966,51.165691,10.451526,Europe,DEU,4.110595753,0.13402772,6.283221935,2924401502222.21
Greece,1966,39.074208,21.824312,Europe,GRC,0.205475704,0,0.088048404,81534474444.4442
Hungary,1966,47.162494,19.503304,Europe,HUN,0.17505437,0.0606825,0.438064884,187167153888.888
Iceland,1966,64.963051,-19.020835,Europe,ISL,0.021784173,0,0.000201516,6107135833.33332
Ireland,1966,53.41291,-8.24389,Europe,IRL,0.114773583,0,0.149091948,73295980833.3331
Italy,1966,41.87194,12.56738,Europe,ITA,2.424364863,0.2898765,0.375639696,858300294166.664
Latvia,1966,56.98600629,-25.98243782,Europe,LVA,0,0,0,0
Lithuania,1966,55.56514803,-23.92632337,Europe,LTU,0,0,0,0
Luxembourg,1966,49.61682412,6.124983395,Europe,LUX,0.040282462,0,0.103095763,39827284722.2221
Netherlands,1966,52.132633,5.291266,Europe,NLD,1.155158762,0.103,0.338,443377433888.888
North Macedonia,1966,42.12066355,-21.42254912,Europe,MKD,0,0,0,0
Norway,1966,60.472024,8.468946,Europe,NOR,0.245104246,0,0.029425249,76258193055.5553
Poland,1966,51.919438,19.145136,Europe,POL,0.2412307,0.0733167,2.523719304,788407417777.776
Portugal,1966,39.399872,-8.224454,Europe,PRT,0.11265312,0,0.025288272,38317053333.3332
Romania,1966,45.943161,24.96676,Europe,ROU,0.31729449,0.545279415,0.196579905,294209391666.666
Slovakia,1966,48.17856255,-17.37553815,Europe,SVK,0.107463348,0.01195236,0.256009428,104284760000
Slovenia,1966,46.151241,14.995463,Europe,SVN,0,0,0,0
Spain,1966,40.463667,-3.74922,Europe,ESP,0.708600324,0,0.375723432,301201043333.332
Sweden,1966,60.128161,18.643501,Europe,SWE,0.93476403,0,0.089065503,284397092499.999
Switzerland,1966,46.818188,8.227512,Europe,CHE,0.368885046,0,0.04415,114731957222.222
Turkey,1966,38.963745,35.243322,Europe,TUR,0.180418001,0,0.170988912,97613031388.8886
Ukraine,1966,49.03256983,-31.17505696,Europe,UKR,0,0,0,0
United Kingdom,1966,55.378051,-3.435973,Europe,GBR,3.416097011,0.030186828,4.67791164,2256720966388.88
Other Europe,1966,0,0,Europe,,0.206097179,0.01522935,0.370488467,164393054444.444
Azerbaijan,1966,40.37218247,-47.99440631,CIS,AZE,0,0,0,0
Belarus,1966,53.22505931,-28.06449163,CIS,BLR,0,0,0,0
Kazakhstan,1966,47.97919679,-67.16447093,CIS,KAZ,0,0,0,0
Russian Federation,1966,61.87817188,-94.65763783,CIS,RUS,0,0,0,0
Turkmenistan,1966,39.06564821,-59.08747704,CIS,TKM,0,0,0,0
USSR,1966,0,0,CIS,,7.690490656,4.886547614,12.90678857,7078840788888.87
Uzbekistan,1966,42.04885918,-64.06189671,CIS,UZB,0,0,0,0
Other CIS,1966,0,0,CIS,,0,0,0,0
Iran,1966,32.427908,53.688046,Middle East,IRN,0.322864271,0.029490071,0.009713376,100574366111.111
Iraq,1966,33.223191,43.679291,Middle East,IRQ,0.060099448,0.0207594,0,22460791111.111
Israel,1966,31.046051,34.851612,Middle East,ISR,0.171733743,0.003436784,0,48658479722.2221
Kuwait,1966,29.31166,47.481766,Middle East,KWT,0.216977192,0.081396,0,82881442222.222
Oman,1966,21.512583,55.923255,Middle East,OMN,0.019873001,0,0,5520278055.55554
Qatar,1966,25.3182235,-51.20661467,Middle East,QAT,0.002059192,0.00305532,0,1420697777.77777
Saudi Arabia,1966,23.885942,45.079162,Middle East,SAU,0.83196574,0.025992,0,238321594444.444
United Arab Emirates,1966,23.7479278,-54.10908829,Middle East,ARE,0.003283348,0,0,912041111.111109
Other Middle East,1966,0,0,Middle East,,0.254265624,0.002106,0.000261529,71286986944.4442
Algeria,1966,28.033886,1.659626,Africa,DZA,0.072981739,0.0277893,0.002847024,28782795277.7777
Egypt,1966,26.820553,30.802498,Africa,EGY,0.314423978,0.0019404,0.011471832,91065613888.8886
Morocco,1966,31.791702,-7.09262,Africa,MAR,0.059447389,0.00175077,0.011667,20240321944.4444
South Africa,1966,-30.559482,22.937506,Africa,ZAF,0.263484501,0,1.01927646,356322489166.666
Eastern Africa,1966,0,0,Africa,,0.245498569,3.33E-05,0.08830944,92733696944.4442
Middle Africa,1966,0,0,Africa,,0.087370629,0.0003879,0.008407792,26712866944.4444
Western Africa,1966,0,0,Africa,,0.17084191,0.006178828,0.01870613,54368574444.4443
Other Northern Africa,1966,0,0,Africa,,0.066377623,0.0003312,0.000593419,18695067222.2222
Other Southern Africa,1966,0,0,Africa,,0.008851289,0,0.0019608,3003358055.55555
Australia,1966,-25.274398,133.775136,Asia Pacific,AUS,0.770571187,0.00014148,0.7538,423475740833.332
Bangladesh,1966,23.684994,90.356331,Asia Pacific,BGD,0,0,0,0
China,1966,35.86166,104.195397,Asia Pacific,CHN,0.596879679,0.048619469,5.1246432,1602817318888.88
China Hong Kong SAR,1966,22.32789401,114.1798757,Asia Pacific,HKG,0.098254951,0,0.004438008,28525821944.4444
India,1966,20.593684,78.96288,Asia Pacific,IND,0.590938854,0.009587772,1.484695301,579228313055.554
Indonesia,1966,-0.789275,113.921327,Asia Pacific,IDN,0.251512074,0.0186354,0.006615144,76878504999.9998
Japan,1966,36.204824,138.252924,Asia Pacific,JPN,4.158211325,0.0674631,2.173582244,1777571296944.44
Malaysia,1966,4.210484,101.975766,Asia Pacific,MYS,0.113742811,0,0.00083736,31827825277.7777
New Zealand,1966,-40.900557,174.885971,Asia Pacific,NZL,0.13008053,0,0.0669888,54741480555.5554
Pakistan,1966,30.375321,69.345116,Asia Pacific,PAK,0.166020813,0.06008994,0.048734352,76345862499.9998
Philippines,1966,12.879721,121.774017,Asia Pacific,PHL,0.195145067,0,0.001758205,54695353333.3332
Singapore,1966,1.352083,103.819836,Asia Pacific,SGP,0.196868069,0,0.00020934,54743724722.2221
South Korea,1966,36.61375976,127.7174212,Asia Pacific,KOR,0.081523233,0,0.234753876,87854752499.9997
Sri Lanka,1966,7.873054,80.771797,Asia Pacific,LKA,0.020220189,0,0,5616719166.66665
Taiwan,1966,23.69781,120.960515,Asia Pacific,TWN,0.109399597,0.00932139,0.124306092,67507521944.4443
Thailand,1966,15.870032,100.992541,Asia Pacific,THA,0.117689274,0,0.00272142,33447414999.9999
Vietnam,1966,14.058324,108.277199,Asia Pacific,VNM,0.141711437,0,0.039471608,50328623611.111
Other Asia Pacific,1966,0,0,Asia Pacific,,0.14682199,0.01074276,0.485888947,178737138055.555
Other S. & Cent. America,1966,0,0,S. & Cent. America,,0,0,0,0
Syria,1966,34.802075,38.996815,Middle East,SYR,0,0,0,0
Yemen,1966,15.81904194,-47.76828626,Middle East,YEM,0,0,0,0
Angola,1966,-11.202692,17.873887,Africa,AGO,0,0,0,0
Chad,1966,15.454166,18.732207,Africa,TCD,0,0,0,0
Republic of Congo,1966,-0.88990186,15.06711965,Africa,COD,0,0,0,0
Equatorial Guinea,1966,1.650801,10.267895,Africa,GNQ,0,0,0,0
Gabon,1966,-0.803689,11.609444,Africa,GAB,0,0,0,0
Libya,1966,26.3351,17.228331,Africa,LBY,0,0,0,0
Nigeria,1966,9.081999,8.675277,Africa,NGA,0,0,0,0
South Sudan,1966,7.621050216,29.41666103,Africa,SSD,0,0,0,0
Sudan,1966,12.862807,30.217636,Africa,SDN,0,0,0,0
Tunisia,1966,33.886917,9.537499,Africa,TUN,0,0,0,0
Other Africa,1966,0,0,Africa,,0,0,0,0
Brunei,1966,4.495153165,114.626025,Asia Pacific,BRN,0,0,0,0
Bolivia,1966,-16.290154,-63.588653,S. & Cent. America,BOL,0,0,0,0
Bahrain,1966,25.930414,50.637772,Middle East,BHR,0,0,0,0
Myanmar,1966,16.871311,96.199379,Asia Pacific,MMR,0,0,0,0
Papua New Guinea,1966,-6.662413673,143.7729533,Asia Pacific,PNG,0,0,0,0
Republic of Congo ,1966,0,0,Africa,COD,0,0,0,0
Serbia,1966,44.016521,21.005859,Europe,SRB,0,0,0,0
Zimbabwe,1966,-19.015438,29.154857,Africa,ZWE,0,0,0,0
Mongolia,1966,46.862496,103.846656,Asia Pacific,MNG,0,0,0,0
Canada,1967,56.130366,-106.346771,North America,CAN,2.603182274,0.90690192,0.629359776,1149845547222.22
Mexico,1967,23.634501,-102.552784,North America,MEX,0.720994839,0.263507429,0.037798,283972296666.666
US,1967,37.09024,-95.712891,North America,USA,25.15965869,17.03947824,11.94118808,15038979169444.4
Argentina,1967,-38.416097,-63.616672,S. & Cent. America,ARG,1.046618286,0.16811802,0.028225429,345267148611.11
Brazil,1967,-14.235004,-51.92528,S. & Cent. America,BRA,0.719970241,0.002443378,0.081349524,223267539722.222
Chile,1967,-35.675147,-71.542969,S. & Cent. America,CHL,0.171181758,0.02058615,0.0502416,67224863333.3331
Colombia,1967,4.570868,-74.297333,S. & Cent. America,COL,0.190581724,0.04158,0.09252828,90191667777.7775
Ecuador,1967,-1.831239,-78.183406,S. & Cent. America,ECU,0.032152123,0,0,8931145277.77775
Peru,1967,-9.189967,-75.015152,S. & Cent. America,PER,0.203055425,0.01285515,0.002146226,60571333611.1109
Trinidad & Tobago,1967,10.691803,-61.222503,S. & Cent. America,TTO,0.083958604,0.0533376,0,38137834444.4443
Venezuela,1967,6.42375,-66.58973,S. & Cent. America,VEN,0.404431756,0.31096872,0.000921096,198978214444.444
Central America,1967,0,0,S. & Cent. America,,0.179459712,0,9.23E-05,49875558888.8887
Other Caribbean,1967,0,0,S. & Cent. America,,0.811254232,0.0001053,0.0020934,225959147777.777
Other South America,1967,0,0,S. & Cent. America,,0.108456014,0.002562317,0.0012686,31190814166.6666
Austria,1967,47.516231,14.550072,Europe,AUT,0.275573203,0.064914061,0.192423247,148030697500
Belgium,1967,50.503887,4.469936,Europe,BEL,0.763313909,0.0181998,0.718550102,416684391944.443
Bulgaria,1967,42.733883,25.48583,Europe,BGR,0.22580082,0.00919917,0.281101752,143361595000
Croatia,1967,45.1,15.2,Europe,HRV,0,0,0,0
Cyprus,1967,35.08620251,-33.15948469,Europe,CYP,0.020834117,0,0,5787254722.22221
Czech Republic,1967,49.817492,15.472962,Europe,CZE,0.208076871,0.0194175,1.426107816,459333940833.332
Denmark,1967,56.26392,9.501785,Europe,DNK,0.533939262,0,0.150239131,190049553611.111
Estonia,1967,58.69807177,-25.8872705,Europe,EST,0,0,0,0
Finland,1967,61.92411,25.748151,Europe,FIN,0.308781342,0,0.065130824,103864490555.555
France,1967,46.227638,2.213749,Europe,FRA,2.825243899,0.217221316,1.584153311,1285171812777.77
Germany,1967,51.165691,10.451526,Europe,DEU,4.27471783,0.172759135,6.052695959,2916714701111.1
Greece,1967,39.074208,21.824312,Europe,GRC,0.241606196,0,0.08415468,90489132222.222
Hungary,1967,47.162494,19.503304,Europe,HUN,0.1852189,0.0778851,0.380035836,178649954444.444
Iceland,1967,64.963051,-19.020835,Europe,ISL,0.021137553,0,0.000154877,5914563888.88887
Ireland,1967,53.41291,-8.24389,Europe,IRL,0.128504488,0,0.158763456,79796651111.1109
Italy,1967,41.87194,12.56738,Europe,ITA,2.683313612,0.3166317,0.411646176,947664302222.219
Latvia,1967,56.98600629,-25.98243782,Europe,LVA,0,0,0,0
Lithuania,1967,55.56514803,-23.92632337,Europe,LTU,0,0,0,0
Luxembourg,1967,49.61682412,6.124983395,Europe,LUX,0.044488958,0,0.096602036,39191942777.7777
Netherlands,1967,52.132633,5.291266,Europe,NLD,1.180680101,0.182,0.325,468800028055.554
North Macedonia,1967,42.12066355,-21.42254912,Europe,MKD,0,0,0,0
Norway,1967,60.472024,8.468946,Europe,NOR,0.253765336,0,0.030892346,79071578333.3331
Poland,1967,51.919438,19.145136,Europe,POL,0.26179332,0.0895959,2.569397292,811329586666.664
Portugal,1967,39.399872,-8.224454,Europe,PRT,0.124286767,0,0.025162668,41513731944.4443
Romania,1967,45.943161,24.96676,Europe,ROU,0.35955504,0.60113666,0.217836656,327368987777.777
Slovakia,1967,48.17856255,-17.37553815,Europe,SVK,0.119567279,0.01432944,0.246863123,105766622777.777
Slovenia,1967,46.151241,14.995463,Europe,SVN,0,0,0,0
Spain,1967,40.463667,-3.74922,Europe,ESP,0.858528384,0,0.38183616,344545706666.666
Sweden,1967,60.128161,18.643501,Europe,SWE,0.931609378,0,0.088404408,283337162777.777
Switzerland,1967,46.818188,8.227512,Europe,CHE,0.398996861,0,0.03724,121176905833.333
Turkey,1967,38.963745,35.243322,Europe,TUR,0.211852094,0,0.15156216,100948403888.889
Ukraine,1967,49.03256983,-31.17505696,Europe,UKR,0,0,0,0
United Kingdom,1967,55.378051,-3.435973,Europe,GBR,3.67120273,0.050785884,4.369805028,2247720456111.1
Other Europe,1967,0,0,Europe,,0.251802433,0.01762416,0.323834843,164794843333.333
Azerbaijan,1967,40.37218247,-47.99440631,CIS,AZE,0,0,0,0
Belarus,1967,53.22505931,-28.06449163,CIS,BLR,0,0,0,0
Kazakhstan,1967,47.97919679,-67.16447093,CIS,KAZ,0,0,0,0
Russian Federation,1967,61.87817188,-94.65763783,CIS,RUS,0,0,0,0
Turkmenistan,1967,39.06564821,-59.08747704,CIS,TKM,0,0,0,0
USSR,1967,0,0,CIS,,8.379157026,5.379930271,13.10659297,7462688963055.53
Uzbekistan,1967,42.04885918,-64.06189671,CIS,UZB,0,0,0,0
Other CIS,1967,0,0,CIS,,0,0,0,0
Iran,1967,32.427908,53.688046,Middle East,IRN,0.357139611,0.030916595,0.010718208,110770670555.555
Iraq,1967,33.223191,43.679291,Middle East,IRQ,0.065059985,0.0165528,0,22670218055.5555
Israel,1967,31.046051,34.851612,Middle East,ISR,0.179011943,0.003848691,0,50794620555.5554
Kuwait,1967,29.31166,47.481766,Middle East,KWT,0.21107674,0.0926136,0,84358427777.7775
Oman,1967,21.512583,55.923255,Middle East,OMN,0.020735214,0,0,5759781666.66665
Qatar,1967,25.3182235,-51.20661467,Middle East,QAT,0.003116978,0.00421038,0,2035377222.22222
Saudi Arabia,1967,23.885942,45.079162,Middle East,SAU,0.839043502,0.0313101,0,241764889444.444
United Arab Emirates,1967,23.7479278,-54.10908829,Middle East,ARE,0.003528921,0.0159354,0,5406755833.33332
Other Middle East,1967,0,0,Middle East,,0.26438046,0.002106,0.000272753,74099781388.8887
Algeria,1967,28.033886,1.659626,Africa,DZA,0.068191312,0.0269577,0.002177136,27035041111.111
Egypt,1967,26.820553,30.802498,Africa,EGY,0.25676149,0.0019404,0.017668296,76769496111.1109
Morocco,1967,31.791702,-7.09262,Africa,MAR,0.065311801,0.00175077,0.0116178,21855658611.111
South Africa,1967,-30.559482,22.937506,Africa,ZAF,0.28717103,0,1.048709664,371077970555.555
Eastern Africa,1967,0,0,Africa,,0.25816477,3.33E-05,0.089172279,96491763611.1108
