Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Oil Consumption,South Korea,Asia Pacific,1965,0.054448505,Oil,Exajoules,36.61375976,127.7174212,KOR
Oil Consumption,Sri Lanka,Asia Pacific,1965,0.019743792,Oil,Exajoules,7.873054,80.771797,LKA
Oil Consumption,Taiwan,Asia Pacific,1965,0.092477424,Oil,Exajoules,23.69781,120.960515,TWN
Oil Consumption,Thailand,Asia Pacific,1965,0.099706859,Oil,Exajoules,15.870032,100.992541,THA
Oil Consumption,Vietnam,Asia Pacific,1965,0.064841545,Oil,Exajoules,14.058324,108.277199,VNM
Gas Consumption,Canada,North America,1965,0.78006321,Gas,Exajoules,56.130366,-106.346771,CAN
Gas Consumption,Mexico,North America,1965,0.29032879,Gas,Exajoules,23.634501,-102.552784,MEX
Gas Consumption,US,North America,1965,14.97314197,Gas,Exajoules,37.09024,-95.712891,USA
Gas Consumption,Argentina,S. & Cent. America,1965,0.1484424,Gas,Exajoules,-38.416097,-63.616672,ARG
Gas Consumption,Brazil,S. & Cent. America,1965,0.001848318,Gas,Exajoules,-14.235004,-51.92528,BRA
Gas Consumption,Chile,S. & Cent. America,1965,0.02224008,Gas,Exajoules,-35.675147,-71.542969,CHL
Gas Consumption,Colombia,S. & Cent. America,1965,0.0322245,Gas,Exajoules,4.570868,-74.297333,COL
Gas Consumption,Peru,S. & Cent. America,1965,0.013167,Gas,Exajoules,-9.189967,-75.015152,PER
Gas Consumption,Trinidad & Tobago,S. & Cent. America,1965,0.0411399,Gas,Exajoules,10.691803,-61.222503,TTO
Gas Consumption,Venezuela,S. & Cent. America,1965,0.27064908,Gas,Exajoules,6.42375,-66.58973,VEN
Gas Consumption,Austria,Europe,1965,0.063103129,Gas,Exajoules,47.516231,14.550072,AUT
Gas Consumption,Belgium,Europe,1965,0.002646,Gas,Exajoules,50.503887,4.469936,BEL
Gas Consumption,Bulgaria,Europe,1965,0.00202581,Gas,Exajoules,42.733883,25.48583,BGR
Gas Consumption,Czech Republic,Europe,1965,0.0154458,Gas,Exajoules,49.817492,15.472962,CZE
Gas Consumption,France,Europe,1965,0.180169183,Gas,Exajoules,46.227638,2.213749,FRA
Gas Consumption,Germany,Europe,1965,0.111512425,Gas,Exajoules,51.165691,10.451526,DEU
Gas Consumption,Hungary,Europe,1965,0.0489501,Gas,Exajoules,47.162494,19.503304,HUN
Gas Consumption,Italy,Europe,1965,0.2654892,Gas,Exajoules,41.87194,12.56738,ITA
Gas Consumption,Netherlands,Europe,1965,0.054,Gas,Exajoules,52.132633,5.291266,NLD
Gas Consumption,Poland,Europe,1965,0.0616752,Gas,Exajoules,51.919438,19.145136,POL
Gas Consumption,Romania,Europe,1965,0.505764973,Gas,Exajoules,45.943161,24.96676,ROU
Gas Consumption,Slovakia,Europe,1965,0.01074708,Gas,Exajoules,48.17856255,-17.37553815,SVK
Gas Consumption,United Kingdom,Europe,1965,0.030940452,Gas,Exajoules,55.378051,-3.435973,GBR
Gas Consumption,Iran,Middle East,1965,0.028127804,Gas,Exajoules,32.427908,53.688046,IRN
Gas Consumption,Iraq,Middle East,1965,0.0170316,Gas,Exajoules,33.223191,43.679291,IRQ
Gas Consumption,Israel,Middle East,1965,0.002651038,Gas,Exajoules,31.046051,34.851612,ISR
Gas Consumption,Kuwait,Middle East,1965,0.0621414,Gas,Exajoules,29.31166,47.481766,KWT
Gas Consumption,Qatar,Middle East,1965,0.00301806,Gas,Exajoules,25.3182235,-51.20661467,QAT
Gas Consumption,Saudi Arabia,Middle East,1965,0.0216144,Gas,Exajoules,23.885942,45.079162,SAU
Gas Consumption,Algeria,Africa,1965,0.0267498,Gas,Exajoules,28.033886,1.659626,DZA
Gas Consumption,Egypt,Africa,1965,0.00169785,Gas,Exajoules,26.820553,30.802498,EGY
Gas Consumption,Morocco,Africa,1965,0.00175077,Gas,Exajoules,31.791702,-7.09262,MAR
Gas Consumption,Australia,Asia Pacific,1965,0.00010611,Gas,Exajoules,-25.274398,133.775136,AUS
Gas Consumption,China,Asia Pacific,1965,0.039911504,Gas,Exajoules,35.86166,104.195397,CHN
Gas Consumption,India,Asia Pacific,1965,0.008541072,Gas,Exajoules,20.593684,78.96288,IND
Gas Consumption,Indonesia,Asia Pacific,1965,0.01827,Gas,Exajoules,-0.789275,113.921327,IDN
Gas Consumption,Japan,Asia Pacific,1965,0.0657414,Gas,Exajoules,36.204824,138.252924,JPN
Gas Consumption,Pakistan,Asia Pacific,1965,0.05317614,Gas,Exajoules,30.375321,69.345116,PAK
Gas Consumption,Taiwan,Asia Pacific,1965,0.00830583,Gas,Exajoules,23.69781,120.960515,TWN
Coal Consumption,Canada,North America,1965,0.647949168,Coal,Exajoules,56.130366,-106.346771,CAN
Coal Consumption,Mexico,North America,1965,0.02888,Coal,Exajoules,23.634501,-102.552784,MEX
Coal Consumption,US,North America,1965,11.60727884,Coal,Exajoules,37.09024,-95.712891,USA
Coal Consumption,Argentina,S. & Cent. America,1965,0.030438177,Coal,Exajoules,-38.416097,-63.616672,ARG
Coal Consumption,Brazil,S. & Cent. America,1965,0.07264098,Coal,Exajoules,-14.235004,-51.92528,BRA
Coal Consumption,Chile,S. & Cent. America,1965,0.04877622,Coal,Exajoules,-35.675147,-71.542969,CHL
Coal Consumption,Colombia,S. & Cent. America,1965,0.084322152,Coal,Exajoules,4.570868,-74.297333,COL
Coal Consumption,Peru,S. & Cent. America,1965,0.001510943,Coal,Exajoules,-9.189967,-75.015152,PER
Coal Consumption,Venezuela,S. & Cent. America,1965,0.00083736,Coal,Exajoules,6.42375,-66.58973,VEN
Coal Consumption,Austria,Europe,1965,0.212813639,Coal,Exajoules,47.516231,14.550072,AUT
Coal Consumption,Belgium,Europe,1965,0.802573757,Coal,Exajoules,50.503887,4.469936,BEL
Coal Consumption,Bulgaria,Europe,1965,0.251040528,Coal,Exajoules,42.733883,25.48583,BGR
Coal Consumption,Czech Republic,Europe,1965,1.479028968,Coal,Exajoules,49.817492,15.472962,CZE
Coal Consumption,Denmark,Europe,1965,0.154832051,Coal,Exajoules,56.26392,9.501785,DNK
