Country,Consumption,Latitude,Longitude,iso_alpha,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Venezuela,Oil Consumption,6.42375,-66.58973,VEN,Total S. & Cent. America,0.403285547,0.396379073,0.404431756,0.440543919,0.435231383,0.45532722,0.45963035,0.501309932,0.550396095,0.550928402,0.587613559,0.583511037,0.653990438,0.684453825,0.734377346,0.888939945,0.941898491,0.930903112,0.909046897,0.853031614,0.872669033,0.910133862,0.864927919,0.895553471,0.87340558,0.881989914,0.838148001,1.000237107,0.903536445,1.008499802,0.971782359,0.789972338,0.854649672,0.950804757,1.121415731,1.155136893,1.236893332,1.334505385,1.251862951,1.280829382,1.347148803,1.315230358,1.417416074,1.403434515,1.42989528,1.50690139,1.457493494,1.592645348,1.71320017,1.520142987,1.424492205,1.084430588,0.998117673,0.823624802,0.594093158,0.484769426
Austria,Oil Consumption,47.516231,14.550072,AUT,Total Europe,0.235070909,0.25843989,0.275573203,0.318477842,0.35001358,0.385357127,0.430585294,0.464842347,0.50374012,0.450819644,0.455613329,0.494680791,0.473711546,0.509650909,0.530671539,0.517994816,0.470271189,0.446042848,0.432287224,0.420474473,0.421149327,0.443585877,0.456697242,0.453520698,0.44719994,0.463318865,0.500056901,0.486816842,0.490908256,0.486849601,0.485502545,0.502330419,0.510231287,0.529836182,0.520744703,0.510297655,0.553268005,0.564551241,0.611771123,0.595181973,0.592654568,0.592234602,0.556768604,0.551556886,0.523618771,0.546904123,0.510388363,0.509887473,0.526135001,0.504564685,0.502857106,0.520105308,0.526845116,0.531948177,0.552324041,0.479865596
Belgium,Oil Consumption,50.503887,4.469936,BEL,Total Europe,0.678473134,0.692137141,0.763313909,0.886173174,1.022425053,1.115336335,1.143023187,1.236500908,1.298283476,1.143662455,1.085363028,1.132136934,1.113515031,1.188181878,1.180862454,1.09142165,1.000371434,0.947249617,0.859519823,0.831643492,0.84412396,0.953799168,0.960654241,0.990817537,0.973099993,1.004726324,1.077360276,1.09898458,1.081101489,1.175267997,1.170957178,1.268113502,1.299350127,1.317394792,1.273724898,1.294326589,1.314130747,1.319628119,1.39469637,1.411637728,1.403951271,1.39947398,1.413465064,1.48262904,1.33396549,1.38217404,1.293896556,1.244551995,1.281283024,1.259590227,1.299984632,1.319970856,1.342434979,1.420823146,1.329950211,0.930792257
Bulgaria,Oil Consumption,42.733883,25.48583,BGR,Total Europe,0.1573757,0.17954679,0.22580082,0.26761719,0.32860364,0.381741275,0.419864841,0.436624474,0.460397308,0.478753265,0.507459265,0.527351162,0.548232093,0.564472263,0.581615747,0.594073875,0.529509055,0.51311475,0.495525707,0.475844174,0.439701571,0.463489122,0.445363036,0.472845122,0.461251654,0.425505626,0.282842826,0.251813109,0.272634575,0.258178121,0.266032885,0.244546277,0.193568144,0.203903641,0.185240483,0.182554378,0.188733385,0.194967651,0.208325926,0.20282564,0.221898738,0.224369609,0.221032763,0.212519919,0.191471166,0.17092044,0.163162212,0.169049598,0.156262241,0.168908143,0.189700403,0.191393953,0.200311815,0.199663141,0.208488532,0.189052947
Croatia,Oil Consumption,45.1,15.2,HRV,Total Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195392218,0.138586514,0.138586514,0.146424602,0.151063232,0.167362088,0.158727418,0.169517481,0.191068324,0.189190045,0.168297521,0.172466955,0.180655598,0.199921227,0.187572329,0.193077029,0.196099404,0.200772734,0.190384384,0.185939055,0.15799636,0.150244435,0.134640379,0.12951908,0.135585256,0.140857679,0.14145543,0.151205586,0.146503524,0.143004657,0.12922502
Cyprus,Oil Consumption,35.08620251,-33.15948469,CYP,Total Europe,0.016848902,0.019219077,0.020834117,0.023138106,0.027323257,0.028817385,0.034374652,0.038653286,0.041469013,0.036767103,0.030708828,0.031223014,0.035269141,0.036160147,0.0366942,0.037003194,0.035482297,0.042529651,0.044750447,0.04540496,0.044941643,0.048529902,0.057144943,0.061185657,0.063201897,0.066834381,0.068359704,0.078593004,0.08235388,0.081417169,0.086350547,0.087990544,0.089883874,0.098221628,0.102965612,0.107432731,0.107975746,0.106827179,0.11367569,0.110572085,0.124122344,0.12260383,0.124730089,0.127376688,0.124532293,0.120614272,0.11860702,0.110483944,0.097872684,0.098170778,0.100550287,0.109675325,0.112592094,0.111400831,0.110826604,0.09432317
Czech Republic,Oil Consumption,49.817492,15.472962,CZE,Total Europe,0.169368794,0.186991122,0.208076871,0.229824537,0.246574559,0.296383154,0.326302954,0.357015678,0.401379505,0.411555984,0.454120794,0.479993299,0.502168658,0.519672494,0.528155441,0.491203917,0.484389216,0.443677226,0.434423412,0.461801816,0.453124127,0.435197816,0.436946735,0.419982873,0.401100007,0.362252311,0.303087174,0.290452396,0.294061085,0.304102321,0.342702658,0.358720907,0.342083909,0.35310763,0.351502838,0.339944714,0.359711368,0.348302625,0.372712742,0.410706054,0.428965599,0.423037491,0.42009214,0.422034702,0.407444318,0.384744361,0.38981536,0.384969214,0.367339408,0.388715668,0.377555526,0.354501153,0.415065504,0.418009859,0.423372691,0.371160806
Denmark,Oil Consumption,56.26392,9.501785,DNK,Total Europe,0.443251605,0.504855738,0.533939262,0.580363146,0.697775611,0.776158509,0.766245824,0.810689359,0.74959426,0.67865064,0.670750552,0.713665193,0.712736164,0.711076156,0.680175884,0.58079257,0.547082442,0.471304441,0.445869559,0.440769988,0.454238688,0.448240324,0.412865975,0.410394491,0.395147208,0.3870772,0.392712569,0.389209831,0.407479973,0.433505112,0.4513668,0.489847204,0.472605609,0.457199144,0.453753144,0.441124849,0.42309316,0.409440625,0.395957929,0.388958357,0.392655425,0.400008448,0.402403401,0.394508702,0.354812338,0.358260188,0.346762051,0.321750255,0.320490769,0.321996371,0.32556758,0.319836454,0.31703594,0.321697131,0.316898017,0.262242148
Estonia,Oil Consumption,58.69807177,-25.8872705,EST,Total Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145605871,0.14403952,0.145475262,0.146729891,0.151323081,0.148835564,0.131114556,0.070466552,0.074694343,0.068093852,0.053510897,0.057914345,0.056867549,0.057097791,0.053333267,0.047984613,0.055500988,0.062146076,0.058332169,0.059198298,0.060308413,0.063018915,0.067261226,0.064043901,0.057543222,0.059312911,0.057823706,0.06851657,0.067674417,0.062653461,0.062508254,0.060958551,0.063623005,0.062909214,0.056119458,0.051845455
Finland,Oil Consumption,61.92411,25.748151,FIN,Total Europe,0.242947737,0.2947128,0.308781342,0.350016139,0.406519952,0.457120586,0.473108042,0.503495737,0.563264098,0.490848746,0.507560944,0.544550081,0.533655883,0.536801955,0.568378177,0.547304919,0.523506941,0.484560277,0.450020747,0.456313638,0.461028682,0.482777459,0.480771896,0.474756948,0.474060495,0.481159586,0.477470592,0.472466409,0.449584452,0.465805511,0.423246774,0.440549053,0.434103767,0.452846106,0.457843631,0.455488553,0.446846996,0.457325744,0.472002956,0.439978848,0.456369391,0.442614419,0.446303861,0.431134397,0.406181044,0.421792336,0.405498346,0.392372467,0.410218231,0.387769681,0.387978624,0.410486086,0.397708649,0.39811859,0.389628838,0.353797235
